,Title,Star Rating,Price
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,36.28
84,Patience,Three,10.16
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,15.44
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),One,48.41
87,Online Marketing for Busy Authors: A Step-By-Step Guide,One,46.35
88,On a Midnight Clear,Three,14.07
89,Obsidian (Lux #1),Two,14.86
90,My Paris Kitchen: Recipes and Stories,Two,33.37
91,Masks and Shadows,Two,56.4
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,14.02
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,46.91
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,45.61
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,19.92
96,"Layered: Baking, Building, and Styling Spectacular Cakes",One,40.11
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,53.9
98,Join,Five,35.67
99,In the Country We Love: My Family Divided,Four,22.0
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Five,57.36
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Two,29.17
102,I am a Hero Omnibus Volume 1,Three,54.63
103,How to Be Miserable: 40 Strategies You Already Use,One,46.03
104,Her Backup Boyfriend (The Sorensen Family #1),One,33.97
105,"Giant Days, Vol. 2 (Giant Days #5-8)",Two,22.11
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Three,29.69
107,First and First (Five Boroughs #3),Four,15.97
108,Fifty Shades Darker (Fifty Shades #2),One,21.96
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,54.35
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Two,37.97
111,Danganronpa Volume 1,Four,51.99
112,Crown of Midnight (Throne of Glass #2),Three,43.29
113,"Codename Baboushka, Volume 1: The Conclave of Death",Four,36.72
114,Camp Midnight,Four,17.08
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Five,29.14
116,Burning,Three,28.81
117,Bossypants,Two,49.46
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Two,37.92
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Two,28.09
120,Algorithms to Live By: The Computer Science of Human Decisions,One,30.81
121,A World of Flavor: Your Gluten Free Passport,One,42.95
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Five,56.76
123,A Murder in Time,One,16.64
124,A Flight of Arrows (The Pathfinders #2),Five,55.53
125,A Fierce and Subtle Poison,Four,28.13
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),One,52.37
127,(Un)Qualified: How God Uses Broken People to Do Big Things,Five,54.0
128,You Are What You Love: The Spiritual Power of Habit,Four,21.87
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Four,43.3
130,Tuesday Nights in 1980,Two,21.04
131,Tracing Numbers on a Train,Three,41.6
132,Throne of Glass (Throne of Glass #1),Three,35.07
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,One,59.64
134,Thirteen Reasons Why,One,52.72
135,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Four,58.08
136,The Wedding Dress,One,24.12
137,The Vacationers,Four,42.15
138,The Third Wave: An Entrepreneur’s Vision of the Future,Five,12.61
139,The Stranger,Four,17.44
140,The Shadow Hero (The Shadow Hero),One,33.14
141,The Secret (The Secret #1),Four,27.37
142,The Regional Office Is Under Attack!,Five,51.36
143,The Psychopath Test: A Journey Through the Madness Industry,Two,36.0
144,The Project,One,10.65
145,The Power of Now: A Guide to Spiritual Enlightenment,Two,43.54
146,The Omnivore's Dilemma: A Natural History of Four Meals,Two,38.21
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Five,37.34
148,The Murder of Roger Ackroyd (Hercule Poirot #4),Four,44.1
149,The Mistake (Off-Campus #2),Three,43.29
150,The Matchmaker's Playbook (Wingmen Inc. #1),One,55.85
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Two,37.6
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,One,10.97
153,The Kite Runner,Four,41.82
154,The House by the Lake,One,36.95
155,The Glittering Court (The Glittering Court #1),One,44.28
156,The Girl on the Train,Two,55.02
157,The Genius of Birds,One,17.24
158,The Emerald Mystery,Two,23.15
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,One,41.25
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Three,32.0
161,The Artist's Way: A Spiritual Path to Higher Creativity,Five,38.49
162,The Art of War,Five,33.34
163,The Argonauts,Two,10.93
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Three,27.55
165,Suddenly in Love (Lake Haven #1),Two,55.99
166,Something More Than This,Four,16.24
167,Soft Apocalypse,Two,26.12
168,So You've Been Publicly Shamed,Two,12.23
169,Shoe Dog: A Memoir by the Creator of NIKE,Two,23.99
170,"Shobu Samurai, Project Aryoku (#3)",Three,29.06
171,Secrets and Lace (Fatal Hearts #1),One,20.27
172,Scarlett Epstein Hates It Here,Five,43.55
173,Romero and Juliet: A Tragic Tale of Love and Zombies,One,36.94
174,Redeeming Love,Five,20.47
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,One,41.06
176,Poems That Make Grown Women Cry,Four,14.19
177,"Nightingale, Sing",One,38.28
178,Night Sky with Exit Wounds,One,41.05
179,Mrs. Houdini,Five,30.25
180,Modern Romance,Five,28.26
181,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),One,10.76
182,Louisa: The Extraordinary Life of Mrs. Adams,Two,16.85
183,Little Red,Three,13.47
184,Library of Souls (Miss Peregrine’s Peculiar Children #3),Five,48.56
185,Large Print Heart of the Pride,Two,19.15
186,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Four,57.36
187,Hollow City (Miss Peregrine’s Peculiar Children #2),One,42.98
188,Grumbles,Two,22.16
189,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Four,49.43
190,Frostbite (Vampire Academy #2),Five,29.99
191,Follow You Home,One,21.36
192,First Steps for New Christians (Print Edition),One,29.0
193,Finders Keepers (Bill Hodges Trilogy #2),Five,53.53
194,"Fables, Vol. 1: Legends in Exile (Fables #1)",Four,41.62
195,Eureka Trivia 6.0,Four,54.59
196,Drive: The Surprising Truth About What Motivates Us,Four,34.95
197,Done Rubbed Out (Reightman & Bailey #1),Five,37.72
198,Doing It Over (Most Likely To #1),Three,35.61
199,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Three,42.16
200,Dark Notes,Five,19.19
201,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Three,19.43
202,Close to You,Four,49.46
203,Chasing Heaven: What Dying Taught Me About Living,Two,37.8
204,Big Magic: Creative Living Beyond Fear,Three,30.8
205,Becoming Wise: An Inquiry into the Mystery and Art of Living,Two,27.43
206,Beauty Restored (Riley Family Legacy Novellas #3),Two,11.11
207,Batman: The Long Halloween (Batman),Two,36.5
208,Batman: The Dark Knight Returns (Batman),Five,15.38
209,Ayumi's Violin,Two,15.48
210,Anonymous,Four,46.82
211,Amy Meets the Saints and Sages,Three,18.46
212,Amid the Chaos,One,36.58
213,Amatus,Five,50.54
214,Agnostic: A Spirited Manifesto,Five,12.51
215,Zealot: The Life and Times of Jesus of Nazareth,Three,24.7
216,You (You #1),Five,43.61
217,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Four,37.34
218,Wild Swans,Two,14.36
219,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Four,52.65
220,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Four,38.2
221,What's It Like in Space?: Stories from Astronauts Who've Been There,Two,19.6
222,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",One,53.9
223,Walt Disney's Alice in Wonderland,Five,12.96
224,V for Vendetta (V for Vendetta Complete),Four,37.1
225,Until Friday Night (The Field Party #1),Two,46.31
226,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Two,45.95
227,Twenty Yawns,Two,22.08
228,Through the Woods,Two,25.38
229,This Is Where It Ends,Two,27.12
230,The Year of Magical Thinking,Two,43.04
231,The Wright Brothers,Four,56.8
232,The White Queen (The Cousins' War #1),Five,25.91
233,The Wedding Pact (The O'Malleys #2),Three,32.61
234,The Time Keeper,Five,27.88
235,The Testament of Mary,Four,52.67
236,The Star-Touched Queen,Five,46.02
237,The Songs of the Gods,Five,44.48
238,The Song of Achilles,Five,37.4
239,The Rosie Project (Don Tillman #1),One,54.04
240,The Power of Habit: Why We Do What We Do in Life and Business,Three,16.88
241,The Marriage of Opposites,Four,28.08
242,The Lucifer Effect: Understanding How Good People Turn Evil,One,10.4
243,The Long Haul (Diary of a Wimpy Kid #9),One,44.07
244,The Loney,One,23.4
245,The Literature Book (Big Ideas Simply Explained),Three,17.43
246,The Last Mile (Amos Decker #2),Two,54.21
247,The Immortal Life of Henrietta Lacks,Two,40.67
248,The Hidden Oracle (The Trials of Apollo #1),Two,52.26
249,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Three,28.77
250,The Guilty (Will Robie #4),Two,13.82
251,The First Hostage (J.B. Collins #2),Three,25.85
252,The Dovekeepers,One,48.78
253,The Darkest Lie,Five,35.35
254,The Bane Chronicles (The Bane Chronicles #1-11),Four,44.73
255,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,One,15.77
256,The 14th Colony (Cotton Malone #11),One,39.24
257,That Darkness (Gardiner and Renner #1),One,13.92
258,Tastes Like Fear (DI Marnie Rome #3),One,10.69
259,Take Me with You,Three,45.21
260,Swell: A Year of Waves,One,45.58
261,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Five,11.89
262,Still Life with Bread Crumbs,Three,26.41
263,Steve Jobs,Five,39.5
264,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Four,44.74
265,Someone Like You (The Harrisons #2),Five,52.79
266,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Four,35.43
267,Shtum,Four,55.84
268,See America: A Celebration of Our National Parks & Treasured Sites,Three,48.87
269,salt.,Four,46.78
270,Robin War,Three,47.82
271,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Two,25.48
272,Rain Fish,Three,23.57
273,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Five,50.89
274,Pet Sematary,Three,10.56
275,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Three,52.15
276,Once Was a Time,Two,18.28
277,Old School (Diary of a Wimpy Kid #10),Five,11.83
278,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Two,21.95
279,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Two,38.39
280,My Name Is Lucy Barton,One,41.56
281,My Mrs. Brown,Three,24.48
282,My Kind of Crazy,One,40.36
283,Mr. Mercedes (Bill Hodges Trilogy #1),One,28.9
284,More Than Music (Chasing the Dream #1),Two,37.61
285,Made to Stick: Why Some Ideas Survive and Others Die,Five,38.85
286,Luis Paints the World,Three,53.95
287,Luckiest Girl Alive,Three,49.83
288,Lowriders to the Center of the Earth (Lowriders in Space #2),Two,51.51
289,Love Is a Mix Tape (Music #1),One,18.03
290,Looking for Lovely: Collecting the Moments that Matter,Five,29.14
291,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Four,46.91
292,Let It Out: A Journey Through Journaling,Five,26.79
293,Lady Midnight (The Dark Artifices #1),Five,16.28
294,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",One,19.55
295,Island of Dragons (Unwanteds #7),One,29.65
296,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Four,25.98
297,I Am Pilgrim (Pilgrim #1),Four,10.6
298,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Five,14.75
299,"Hush, Hush (Hush, Hush #1)",Three,47.02
300,Hold Your Breath (Search and Rescue #1),One,28.82
301,Hamilton: The Revolution,Three,58.79
302,Greek Mythic History,Five,10.23
303,God: The Most Unpleasant Character in All Fiction,Five,30.03
304,Glory over Everything: Beyond The Kitchen House,Three,45.84
305,Feathers: Displays of Brilliant Plumage,Three,49.05
306,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Four,15.06
307,Every Last Word,Three,46.47
308,Eligible (The Austen Project #4),Three,27.09
309,El Deafo,Five,57.62
310,Eight Hundred Grapes,Four,14.39
311,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Five,51.75
312,"Eat Fat, Get Thin",Two,54.07
313,Don't Get Caught,One,55.35
314,Doctor Sleep (The Shining #2),Two,40.12
315,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Five,37.51
316,Dear Mr. Knightley,Five,11.21
317,Daily Fantasy Sports,One,36.58
318,Crazy Love: Overwhelmed by a Relentless God,Two,47.72
319,Cometh the Hour (The Clifton Chronicles #6),Three,25.01
320,Code Name Verity (Code Name Verity #1),Four,22.13
321,Clockwork Angel (The Infernal Devices #1),One,44.14
322,City of Glass (The Mortal Instruments #3),Four,56.02
323,City of Fallen Angels (The Mortal Instruments #4),Four,11.23
324,City of Bones (The Mortal Instruments #1),One,43.28
325,City of Ashes (The Mortal Instruments #2),One,47.27
326,Cell,Four,20.29
327,Catching Jordan (Hundred Oaks),Three,50.83
328,"Carry On, Warrior: Thoughts on Life Unarmed",Three,31.85
329,Carrie,Two,46.23
330,Buying In: The Secret Dialogue Between What We Buy and Who We Are,Four,37.8
331,Brain on Fire: My Month of Madness,Five,49.32
332,Batman: Europa,Two,32.01
333,Barefoot Contessa Back to Basics,One,28.01
334,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Five,50.62
335,Balloon Animals,Three,17.03
336,Art Ops Vol. 1,Three,48.8
337,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Four,58.14
338,Angels Walking (Angels Walking #1),Two,34.2
339,Angels & Demons (Robert Langdon #1),Three,51.48
340,All the Light We Cannot See,Five,29.87
341,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Two,10.9
342,Abstract City,Five,56.37
343,A Time of Torment (Charlie Parker #14),Five,48.35
344,A Study in Scarlet (Sherlock Holmes #1),Two,16.73
345,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Two,56.48
346,A People's History of the United States,Two,40.79
347,A Man Called Ove,One,39.72
348,A Distant Mirror: The Calamitous 14th Century,Three,14.58
349,A Brush of Wings (Angels Walking #3),One,55.51
350,1491: New Revelations of the Americas Before Columbus,Three,21.8
351,"The Three Searches, Meaning, and the Story",Three,13.33
352,Searching for Meaning in Gailana,One,38.73
353,Rook,Four,37.86
354,My Kitchen Year: 136 Recipes That Saved My Life,Two,11.53
355,13 Hours: The Inside Account of What Really Happened In Benghazi,One,27.06
356,Will You Won't You Want Me?,Three,13.86
357,Tipping Point for Planet Earth: How Close Are We to the Edge?,One,37.55
358,The Star-Touched Queen,Five,32.3
359,The Silent Sister (Riley MacPherson #1),Five,46.29
360,The Midnight Watch: A Novel of the Titanic and the Californian,One,26.2
361,The Lonely City: Adventures in the Art of Being Alone,Two,33.26
362,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Four,59.15
363,The Golden Condom: And Other Essays on Love Lost and Found,One,39.43
364,The Epidemic (The Program 0.6),Five,14.44
365,The Dinner Party,Two,56.54
366,The Diary of a Young Girl,Three,59.9
367,The Children,Three,11.88
368,Stars Above (The Lunar Chronicles #4.5),Two,48.05
369,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Three,21.21
370,Raspberry Pi Electronics Projects for the Evil Genius,Four,49.67
371,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,One,43.14
372,Psycho: Sanitarium (Psycho #1.5),Five,36.97
373,Poisonous (Max Revere Novels #3),Three,26.8
374,One with You (Crossfire #5),Four,15.71
375,No Love Allowed (Dodge Cove #1),Four,54.65
376,Murder at the 42nd Street Library (Raymond Ambler #1),Four,54.36
377,Most Wanted,Three,35.28
378,"Love, Lies and Spies",Two,20.55
379,How to Speak Golf: An Illustrated Guide to Links Lingo,Five,58.32
